tweet id,name,username,tweet text,reference type,reference id,created at,like,quote,reply,retweet,tweet url,mentions,hashtags
1502827783680303107,ipulalam,ipuulalam,@Dennysiregar7 Kadang bngung maksa blg KKB teroris padahal mereka juga nggk ngebom,replied_to,1502566905495777281,2022-03-13T02:03:59.000Z,0,0,0,0,https://twitter.com/ipuulalam/status/1502827783680303107,@Dennysiregar7,
1502827767653564416,Theo Nimus,NimusTheo,"@_W_T_T_ Dan secara langsung, menunjukan dukung teroris....",replied_to,1502434314222714880,2022-03-13T02:03:55.000Z,0,0,0,0,https://twitter.com/NimusTheo/status/1502827767653564416,@_W_T_T_,
1502827586724188161,Jenahara,seroja_merah,@__AnakKolong Teroris tetap teroris biar ngaku cucunya nabi klo jadi pelaku teror perlu di dor..,replied_to,1502826784659808264,2022-03-13T02:03:12.000Z,11,0,3,4,https://twitter.com/seroja_merah/status/1502827586724188161,@__AnakKolong,
1502827585553956867,Anjay,kadrunpalsu,"Ini betul, dan dilakukan setiap kali ada penangkapan teroris...
@fadlizon https://t.co/Z8aWxm7HnO",quoted,1502284160920002560,2022-03-13T02:03:12.000Z,4,0,0,0,https://twitter.com/kadrunpalsu/status/1502827585553956867,@fadlizon,
1502827436735533058,Lαทջ¡Շ Aώℯℛα★᭄ꦿ᭄ꦿ,Lelaki_5unyi,"Dokter Sunardi Dicap Teroris, Gus Nur Tak Terima: Gedung di Mana yang Dibom, Berapa Ribu yang Dibunuh? https://t.co/4qi2j5GtSH",original,,2022-03-13T02:02:36.000Z,106,1,8,41,https://twitter.com/Lelaki_5unyi/status/1502827436735533058,,
1502827328765763584,IG: hariy_risnasiregar,Cak_Hariy,@GagakNew @dwioktariyadi @Dawul_sukrii @musashi_masabi Ini bisa jadi orang yg radikal dan atau terafiliasi teroris.,replied_to,1502797830301241349,2022-03-13T02:02:11.000Z,0,0,0,2,https://twitter.com/Cak_Hariy/status/1502827328765763584,"@GagakNew,@dwioktariyadi,@Dawul_sukrii,@musashi_masabi",
1502827219324145667,sabarnarimo,sabarna60243294,"@Prasetyo9Hh @Dennysiregar7 Koruptor...pengacau ekonomi
DJUGA TERORIS",replied_to,1502592157416583170,2022-03-13T02:01:44.000Z,0,0,0,0,https://twitter.com/sabarna60243294/status/1502827219324145667,"@Prasetyo9Hh,@Dennysiregar7",
1502827204136550403,412Tino,kakungtino,"@cocorico__6 @Prasetyo9Hh @Dennysiregar7 Bodo amat, teroris biar dihabiskan sama densus88.",replied_to,1502825162240331779,2022-03-13T02:01:41.000Z,0,0,1,0,https://twitter.com/kakungtino/status/1502827204136550403,"@cocorico__6,@Prasetyo9Hh,@Dennysiregar7",
1502827178228330500,Dradjat Kuntjoro,DradjatKuntjor2,"@NGIndonesia Pemuja/pendukung teroris = teroris
Teroris = pembunuh = pencundang = pengecut",replied_to,1502645587635810313,2022-03-13T02:01:35.000Z,0,0,0,0,https://twitter.com/DradjatKuntjor2/status/1502827178228330500,@NGIndonesia,
1502827173870153731,whocares,relvionika,@AREAJULID Anaknya titisan teroris nih pasti,replied_to,1502787854413488134,2022-03-13T02:01:34.000Z,0,0,0,0,https://twitter.com/relvionika/status/1502827173870153731,@AREAJULID,
1502827068496617472,Adro Subagja,adrofier888,"@P3nj3l4j4h_id Walau punya gelar profesor yang kena stroke,jalan nya pake gaya ngesot dengan kanker prostat stadium cumlaude, kalau yang  namanya teroris harus diantar sesegera mungkin dengan ambulan biar bisa ketemu 72 bidadari milik 2juta penghuni monas",replied_to,1502681733916872704,2022-03-13T02:01:08.000Z,0,0,0,0,https://twitter.com/adrofier888/status/1502827068496617472,@P3nj3l4j4h_id,
1502827061034979331,Si Bonggol,IndartoSantosa,@kifli127 Anda mau belain terduga teroris ya . . .?? hati² ketularan bro,replied_to,1501929467085684736,2022-03-13T02:01:07.000Z,0,0,0,0,https://twitter.com/IndartoSantosa/status/1502827061034979331,@kifli127,
1502826979049209861,Lesmono,Lesmono8i,@riksayuda @Dennysiregar7 Udah stroke aja jadi teroris.. gimana sehatnya..,replied_to,1502720032983642114,2022-03-13T02:00:47.000Z,1,0,0,0,https://twitter.com/Lesmono8i/status/1502826979049209861,"@riksayuda,@Dennysiregar7",
1502826953887600640,jo yo🇮🇩,kang3yoko,@maspiyuaja Wah banyak kadal teroris dsini...tandain,replied_to,1502448483684429824,2022-03-13T02:00:41.000Z,0,0,0,0,https://twitter.com/kang3yoko/status/1502826953887600640,@maspiyuaja,
1502826940583280641,MFK,mfk_id,"@ardhani83 @Walkhoiri @EdiMahaMG Siyono gak melawan pulang udah gak nyawa ,,,, bukan teroris dia",replied_to,1502526689989263362,2022-03-13T02:00:38.000Z,0,0,0,0,https://twitter.com/mfk_id/status/1502826940583280641,"@ardhani83,@Walkhoiri,@EdiMahaMG",
1502826898375684098,you are my real friend if you call me ema,razkithh,"Allahuakhbar, sedih sangat tgk video kes nelson ni 
Selalu suka tgk citer survival tapi ni real 😭😭

TNI-Polri Evakuasi Korban Penembakan Kelompok Separatis Teroris di Papua... https://t.co/MD0o0yJFVX via @YouTube
#nelsonsarira",original,,2022-03-13T02:00:28.000Z,0,0,0,0,https://twitter.com/razkithh/status/1502826898375684098,@YouTube,nelsonsarira
1502826849281654784,"Logo Halal Indonesia, RESMI !",JayalahNKRI_,"@SatyaPe48854701 @P3nj3l4j4h_id Manusia sperti ini sudah diCUCI OTAK TERORIS...
bentar....tak priksa TLnya",replied_to,1502777174083874817,2022-03-13T02:00:16.000Z,1,0,0,0,https://twitter.com/JayalahNKRI_/status/1502826849281654784,"@SatyaPe48854701,@P3nj3l4j4h_id",
1502826784659808264,A K ™ |,__AnakKolong,"Jessica Cox - perempuan berasal dari Arizona yg berhasil menjadi pilot berlisensi pertama yg menerbangkan pesawat hanya dengan kakinya.

Walaupun Jessica Cox bukan teroris seperti dokter Sunardi.

Jadi teroris seperti dokter Sunardi tak perlu dibela dan dikasihani.
.
. https://t.co/Kx2UmbMw2p",original,,2022-03-13T02:00:01.000Z,482,5,24,126,https://twitter.com/__AnakKolong/status/1502826784659808264,,
1502826696973594626,Axela Eoh,eoh_axela,@martabaktelor89 @P3nj3l4j4h_id Emang teroris bisa masuk surga gan?,replied_to,1502792977772544001,2022-03-13T01:59:40.000Z,0,0,0,0,https://twitter.com/eoh_axela/status/1502826696973594626,"@martabaktelor89,@P3nj3l4j4h_id",
1502826670126166017,um_ahmad🍀,sri_saryani76,@Kita_AMLTF Ini di Saudi loh...81 teroris dieksekusi dalam sehari... di sini eksekusi 1 ributnya gak habis2.. dibelain yg mengatasnamakan HAM dkk nya,replied_to,1502821427632029699,2022-03-13T01:59:33.000Z,1,0,0,0,https://twitter.com/sri_saryani76/status/1502826670126166017,@Kita_AMLTF,
1502826619253125120,ridwanbersole,ridwanbersole,"DPR Minta Presiden Segera Terbitkan Perpres Pelibatan TNI dalam Penanggulangan Teroris. Kami kira selama ini sudah ada dasarnya. 

https://t.co/D3sC4yJLyF",original,,2022-03-13T01:59:21.000Z,0,0,0,0,https://twitter.com/ridwanbersole/status/1502826619253125120,,
1502826519923605504,Thop,thoptrade,"@SomarwaneSefnat @kurawa Tapi tidak tahu mengenai perkembangan KKB yg sdh ditetapkan sebagai organisasi Teroris oleh pemerintah. Sangat disayangkan, itulah kenapa saya bilang sudut pandang bisa berubah karena pemikiran terkotak2 antara cebong dan kadrun adalah sumber masalah dalam negeri😁",replied_to,1502823438120996865,2022-03-13T01:58:58.000Z,0,0,0,0,https://twitter.com/thoptrade/status/1502826519923605504,"@SomarwaneSefnat,@kurawa",
1502826514903371776,jabrig,jabrig69510372,"@__Sridiana_3va Emang kayaknya begitu, hajar dulu, sisanya urusan belakang.  Contoh kasus 212, terduga teroris (sampe sekarang blm ada yg terbukti) demo mahasiswa, tambang di daerah, dan tau sendirilah....!!!😪",replied_to,1502819641902522369,2022-03-13T01:58:56.000Z,1,0,0,0,https://twitter.com/jabrig69510372/status/1502826514903371776,@__Sridiana_3va,
1502826503465099264,Suara Cebong 🇮🇩,ewin_roxi,"Hanya kadrun komplotan teroris yg bilang Sunardi itu org baik, faktanya Sunardi bukan baru terduga tp sdh menjadi tersangka, mana ada teroris org baik drun? https://t.co/kg7yDkrS4F",quoted,1502698650023370759,2022-03-13T01:58:54.000Z,2,0,0,0,https://twitter.com/ewin_roxi/status/1502826503465099264,,
1502826335475220481,𝖜𝖆𝖎𝖙𝖜𝖍𝖆𝖙.𝖓𝖔,waitwhatnooooo,"Klo di mari udh viral di medsos ma buzzer disebut-sebut makar, teroris, dll. Udah jd target bensu69 besok paginya ga si? https://t.co/WUCiEcDzzv",quoted,1502691360343670787,2022-03-13T01:58:14.000Z,0,0,0,0,https://twitter.com/waitwhatnooooo/status/1502826335475220481,,
1502826279787122690,Rifasfatt,Rifasfatt1,"@Urrangawak @Aryprasetyo85 @BiLLRaY2019 @03__nakula @ChusnulCh__ @denni_sauya @seruanhl @tnmuda @Speedtrap_ @anto_winarno @AntoniusCDN Lawan...
Berantas teroris sampe ke akar² nya...",replied_to,1502490247619559428,2022-03-13T01:58:00.000Z,2,0,0,0,https://twitter.com/Rifasfatt1/status/1502826279787122690,"@Urrangawak,@Aryprasetyo85,@BiLLRaY2019,@03__nakula,@ChusnulCh__,@denni_sauya,@seruanhl,@tnmuda,@Speedtrap_,@anto_winarno,@AntoniusCDN",
1502826255195901952,Doel ci doel 🏤 🇮🇩 🏤,bask80,"Tersangka terroris langsung di eksekusi. Di Indonesia di DOR saja.!! Tuman!!!

https://t.co/D4YTw0HdZe",original,,2022-03-13T01:57:55.000Z,0,0,0,0,https://twitter.com/bask80/status/1502826255195901952,,
1502826146471325699,Sauditvnews_and,Sauditvnews_and,"Kementerian Dalam Negeri Saudi:
Para narapidana melaksanakan rencana teroris ISIS, Al-Qaeda, Al-Houthi, dan organisasi teroris lainnya yang memusuhi Kerajaan.
#Indonesia
#السعودية https://t.co/vIvfdx5y2M",original,,2022-03-13T01:57:29.000Z,0,0,0,0,https://twitter.com/Sauditvnews_and/status/1502826146471325699,,"Indonesia,السعودية"
1502826032013115395,andi priyantoko,andy_blink,"@KompasTV Klo dia teroris beneran n tertutup. Bnyk contoh yg udh ketangkep n mati, bnyk yg smpe nolak utk dikuburin d daerahnya. 
Lah ini pas pemakaman rame bgt, ujan2, mlm2 pula. Bhkn bnyk yg bersaksi klo beliau org baik. 
Kita kembalikan kpd Allah yg Maha Adil.",replied_to,1502474730179162121,2022-03-13T01:57:01.000Z,0,0,0,0,https://twitter.com/andy_blink/status/1502826032013115395,@KompasTV,
1502825926635139072,Rexa,Rexa95320619,"@txtdrbuih @VIVAcoid Ti jaman baheula euweuh nu nga ganggu mui, di jaman ayeuna mui di ganggu, moal lila ge mui bakal di sebut teroris,
Masalah maneh naon ayeuna?",replied_to,1502788957595058179,2022-03-13T01:56:36.000Z,1,0,1,0,https://twitter.com/Rexa95320619/status/1502825926635139072,"@txtdrbuih,@VIVAcoid",
1502825921417412609,F,faridaanisa51,@Itscorn4 @lalisaqv @AREAJULID Teroris sejak dini,replied_to,1502801988756533249,2022-03-13T01:56:35.000Z,0,0,0,0,https://twitter.com/faridaanisa51/status/1502825921417412609,"@Itscorn4,@lalisaqv,@AREAJULID",
1502825884113244163,🇮🇩Cak Mugik🇮🇩,CakMugik,Pastikan yg membela adalah gerombolan mereka / termasuk dalam jaringan Teroris sadis. https://t.co/N5HG7H6CwY,quoted,1502683736315338754,2022-03-13T01:56:26.000Z,0,0,0,1,https://twitter.com/CakMugik/status/1502825884113244163,,
1502825881412435972,Moesa J Perangin-angin,moesa_jp02,"""Arab Saudi Eksekusi Mati 81 Terpidana Teroris dalam Sehari"" 

 https://t.co/siY4kSHNTA.",original,,2022-03-13T01:56:25.000Z,2,0,0,1,https://twitter.com/moesa_jp02/status/1502825881412435972,,
1502825872062963712,Hari_71,HariKusdiyanto,"@Helmi_Felis Hei bro @Helmi_Felis  anda sadar gak kalo Densus88 di bubarkan akibatnya apa ? 
Semakin meraja lelah para teroris berbuat anarkis di negeri ini  ! 
Biasanya maling itu teriak maling, jangan2 anda salah satu kroni teroris  ??",replied_to,1502166821835014144,2022-03-13T01:56:23.000Z,1,0,0,0,https://twitter.com/HariKusdiyanto/status/1502825872062963712,"@Helmi_Felis,@Helmi_Felis",
1502825769143209990,Audhi,524forlove,@AREAJULID Bibit teroris?,replied_to,1502787854413488134,2022-03-13T01:55:59.000Z,0,0,0,0,https://twitter.com/524forlove/status/1502825769143209990,@AREAJULID,
1502825750051065857,🇲🇨OSOS 🇲🇨,SURYAPS20,@maspiyuaja Teroris nyambi dokter,replied_to,1502448483684429824,2022-03-13T01:55:54.000Z,0,0,0,0,https://twitter.com/SURYAPS20/status/1502825750051065857,@maspiyuaja,
1502825680819552256,Didit Aby ♕🇮🇩🌟,yoedidharma,"@SigitCGumilar @nasahrageris @Mom_Elfatih @gagal_hijrah 🤣🤣🤣
Hadeehh simpatisan teroris yg aneh. 
Udah sana gugat Densus 88 ke pengadilan... Gak usah banyak bacot. 
Paling gak berani 🤣",replied_to,1502823282705244162,2022-03-13T01:55:38.000Z,0,0,1,0,https://twitter.com/yoedidharma/status/1502825680819552256,"@SigitCGumilar,@nasahrageris,@Mom_Elfatih,@gagal_hijrah",
1502825663807782913,arnoldla,arnoldy1230,@adulsiliwangi19 @P3nj3l4j4h_id Allah berteman dengan Teroris?🤔,replied_to,1502801259648405509,2022-03-13T01:55:34.000Z,4,0,1,0,https://twitter.com/arnoldy1230/status/1502825663807782913,"@adulsiliwangi19,@P3nj3l4j4h_id",
1502825646376243200,Mang Alee,alirahmat_jaya,"#DukungDensus88 #StopBelaTeroris 
https://t.co/qj8wUHNWet https://t.co/0ub3OKiG80",quoted,1502610043337773056,2022-03-13T01:55:29.000Z,0,0,0,0,https://twitter.com/alirahmat_jaya/status/1502825646376243200,,"DukungDensus88,StopBelaTeroris"
1502825641586327553,Jalan Sunyi Negeriku,QueenDibaaa,"@ProfesorZubairi Baca ini pak dokter

https://t.co/oje4Nl3oTL

Hilal Ahmar Society Indonesia itu apa??? 
Kedok aja tuh dok

Ini terafiliasi dg organisasi teroris internasional",replied_to,1502106049230229504,2022-03-13T01:55:28.000Z,1,0,0,0,https://twitter.com/QueenDibaaa/status/1502825641586327553,@ProfesorZubairi,
1502825542331949057,Adi LB,AdiLB78027720,@alrasyidstore @CNNIndonesia Teroris bangsat harus dilenyapkan...,replied_to,1502771926699474944,2022-03-13T01:55:05.000Z,0,0,1,0,https://twitter.com/AdiLB78027720/status/1502825542331949057,"@alrasyidstore,@CNNIndonesia",
